name,id,shortDesc,actions,castType,sourceBook,PFSnote,levelreq,traditions/0,traditions/1,traditions/2,traditions/3,traits/0,traits/1,traits/2,traits/3,traits/4,traits/5,traits/6,traits/7,cost,inputRequired,internalNote,range,area,targets,target,singleTarget,allowReturnFocusPoint,requirements,trigger,sustained,duration,desc,savingThrow,critsuccess,success,failure,critfailure,showSpells/0/level,showSpells/0/name,heightened/0/desc,heightened/0/level,heightened/1/desc,heightened/1/level,heightened/2/desc,heightened/2/level,heightened/3/desc,heightened/3/level,heightened/4/desc,heightened/4/level,heightened/5/desc,heightened/5/level,heightened/6/desc,heightened/6/level,heightened/7/desc,heightened/7/level,heightened/8/desc,heightened/8/level,gainConditions/0/duration,gainConditions/0/heightenedFilter,gainConditions/0/name,gainConditions/0/source,gainConditions/0/targetFilter,gainConditions/0/value,gainConditions/1/duration,gainConditions/1/heightenedFilter,gainConditions/1/name,gainConditions/1/source,gainConditions/1/targetFilter,gainConditions/1/value,gainConditions/2/duration,gainConditions/2/heightenedFilter,gainConditions/2/name,gainConditions/2/source,gainConditions/2/targetFilter,gainConditions/2/value,gainConditions/3/duration,gainConditions/3/heightenedFilter,gainConditions/3/name,gainConditions/3/source,gainConditions/3/targetFilter,gainConditions/3/value,gainConditions/4/duration,gainConditions/4/heightenedFilter,gainConditions/4/name,gainConditions/4/source,gainConditions/4/value,gainConditions/5/duration,gainConditions/5/heightenedFilter,gainConditions/5/name,gainConditions/5/source,gainConditions/5/value,gainItems/0/expiration,gainItems/0/heightenedFilter,gainItems/0/name,gainItems/0/type,gainItems/1/expiration,gainItems/1/heightenedFilter,gainItems/1/name,gainItems/1/type,gainItems/2/expiration,gainItems/2/heightenedFilter,gainItems/2/name,gainItems/2/type,gainItems/3/expiration,gainItems/3/heightenedFilter,gainItems/3/name,gainItems/3/type,gainItems/4/expiration,gainItems/4/heightenedFilter,gainItems/4/name,gainItems/4/type,desc1/0/value,desc1/0/variable,desc1/1/value,desc1/1/variable,desc1/2/value,desc1/2/variable,desc2/0/value,desc2/0/variable,desc2/1/value,desc2/1/variable,desc2/2/value,desc2/2/variable,desc2/3/value,desc2/3/variable,desc2/4/value,desc2/4/variable,desc2/5/value,desc2/5/variable,desc2/6/value,desc2/6/variable,desc2/7/value,desc2/7/variable,desc2/8/value,desc2/8/variable,desc3/0/value,desc3/0/variable,desc3/1/value,desc3/1/variable,desc3/2/value,desc3/2/variable,desc3/3/value,desc3/3/variable,desc3/4/value,desc3/4/variable,desc3/5/value,desc3/5/variable,desc3/6/value,desc3/6/variable,desc3/7/value,desc3/7/variable,desc3/8/value,desc3/8/variable,desc4/0/value,desc4/0/variable,desc4/1/value,desc4/1/variable,desc4/2/value,desc4/2/variable,desc4/3/value,desc4/3/variable,desc4/4/value,desc4/4/variable,desc4/5/value,desc4/5/variable,desc4/6/value,desc4/6/variable,desc4/7/value,desc4/7/variable,desc4/8/value,desc4/8/variable,desc4/9/value,desc4/9/variable,desc4/10/value,desc4/10/variable,desc4/11/value,desc4/11/variable,desc5/0/value,desc5/0/variable,desc5/1/value,desc5/1/variable,desc5/2/value,desc5/2/variable,desc5/3/value,desc5/3/variable,desc5/4/value,desc5/4/variable,desc5/5/value,desc5/5/variable,desc5/6/value,desc5/6/variable,desc5/7/value,desc5/7/variable,desc5/8/value,desc5/8/variable,desc5/9/value,desc5/9/variable,desc5/10/value,desc5/10/variable,desc5/11/value,desc5/11/variable,desc6/0/value,desc6/0/variable,desc6/1/value,desc6/1/variable,desc6/2/value,desc6/2/variable,desc6/3/value,desc6/3/variable,desc6/4/value,desc6/4/variable,desc6/5/value,desc6/5/variable,desc6/6/value,desc6/6/variable,desc6/7/value,desc6/7/variable,desc6/8/value,desc6/8/variable,desc6/9/value,desc6/9/variable,desc6/10/value,desc6/10/variable,desc7/0/value,desc7/0/variable,desc7/1/value,desc7/1/variable,desc7/2/value,desc7/2/variable,desc7/3/value,desc7/3/variable,desc7/4/value,desc7/4/variable,desc7/5/value,desc7/5/variable,desc7/6/value,desc7/6/variable,desc7/7/value,desc7/7/variable,desc7/8/value,desc7/8/variable,desc7/9/value,desc7/9/variable,desc7/10/value,desc7/10/variable,desc7/11/value,desc7/11/variable,desc8/0/value,desc8/0/variable,desc8/1/value,desc8/1/variable,desc8/2/value,desc8/2/variable,desc8/3/value,desc8/3/variable,desc9/0/value,desc9/0/variable,desc9/1/value,desc9/1/variable,desc9/2/value,desc9/2/variable,desc9/3/value,desc9/3/variable,desc10/0/value,desc10/0/variable,desc10/1/value,desc10/1/variable,desc10/2/value,desc10/2/variable,desc10/3/value,desc10/3/variable
Sanctuary,29ed9892-9122-11ea-bb37-0242ac130002,Protect a creature from being attacked.,2A,"somatic, verbal",,,1,Occult,Divine,,,Abjuration,,,,,,,,,,,touch,,1 creature,ally,TRUE,,,,,1 minute,"You ward a creature with protective energy that deters enemy attacks. Creatures attempting to attack the target must attempt a Will save each time. If the target uses a hostile action, the spell ends.",,Sanctuary ends.,The creature can attempt its attack and any other attacks against the target this turn.,The creature can't attack the target and wastes the action. It can't attempt further attacks against the target this turn.,The creature wastes the action and can't attempt to attack the target for the rest of sanctuary's duration.,,,,,,,,,,,,,,,,,,,,,100,,Sanctuary,Sanctuary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouring Sand,5b339bb2-82e9-4573-ac5c-8ae27abe7806,You blast the area with grit that scours away soil and gets into creatures' eyes.,2A,"somatic, verbal",Pathfinder #151: The Show Must Go On,,1,Arcane,Primal,,,Uncommon,Earth,Evocation,,,,,,,,,60 feet,10-foot burst,,,,,,,100,sustained for up to 1 minute,"<var>var1</var>You blast the area with grit that scours away soil and gets into creatures' eyes. For the duration of the spell, any plant-based difficult terrain smaller than a tree becomes loose, allowing each 5-foot square of it to be cleared with a single Interact action. In addition, scouring sand attempts to counteract entangle and other effects that create or manipulate plant-based terrain in its area. Successfully counteracting an effect removes only the portion of its area that overlaps with scouring sand's area. After one such attempt, the effect is temporarily immune to scouring sand's counteract for 24 hours. Each creature in the area when you Cast this Spell or that ends its turn in the area must attempt a Reflex save. <var>var2</var>",,,The creature is unaffected.,The creature is dazzled for 1 minute or until it uses an Interact action to get the sand out of its eyes.,"As failure, but the creature is also blinded for its next action.",,,"Once per round when you Sustain the Spell, you can move the center of the burst to a spot within range.",(3rd),"As the 3rd-level version, except the range is 120 feet and the area is a 20-foot burst.",(6th),,,,,,,,,,,,,,,100,1,Scouring Sand (1st Level),Scouring Sand,caster,,100,3,Scouring Sand (3rd level),Scouring Sand,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var1,,var2,,,,,,,,,,,,,,,,,,,,,,var1,"Once per round when you Sustain the Spell, you can move the center of the burst to a spot within range.",var2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As the 3rd-level version, except the range is 120 feet and the area is a 20-foot burst. ",var1,"Once per round when you Sustain the Spell, you can move the center of the burst to a spot within range.",var2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share Lore,29ed99c8-9122-11ea-bb37-0242ac130002,You share your knowledge with the touched creatures.,1 minute,,Gods & Magic,,1,Arcane,Occult,,,Divination,Mental,,,,,,,,,,touch,,up to 3 creatures,,,,,,,10 minutes,<var>var1</var>You share your knowledge with the touched creatures. Choose one Lore skill in which you are trained. The targets become trained in that Lore skill for the duration of the spell.,,,,,,,,The duration of the spell is 1 hour and you can target up to five creatures.,(3rd),"The duration of the spell is 8 hours, you can target up to five creatures, and you can share up to two Lore skills in which you are trained.",(5th),,,,,,,,,,,,,,,1000,1,Share Lore (1st Level),Share Lore,caster,,6000,3,Share Lore (1st Level),Share Lore,caster,,48000,5,Share Lore (5th Level),Share Lore,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var1,,,,,,,,,,,,,,,,,,,,,,,The duration of the spell is 1 hour and you can target up to five creatures. ,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The duration of the spell is 8 hours, you can target up to five creatures, and you can share up to two Lore skills in which you are trained. ",var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shattering Gem,29ed9b30-9122-11ea-bb37-0242ac130002,A large gem floats around the target in an erratic pattern.,2A,"somatic, verbal",Gods & Magic,,1,Arcane,Primal,,,Abjuration,Earth,,,,,,,,,,touch,,1 creature,ally,TRUE,,,,,1 minute,"A large gem floats around the target in an erratic pattern. The gem has <var>var1</var> Hit Points. Each time a creature Strikes the target, the target attempts a DC 11 flat check. On a success, the gem blocks the attack, so the attack first damages the gem and then applies any remaining damage to the target. If the gem is reduced to 0 Hit Points, it shatters, immediately dealing the creature that destroyed it <var>var2</var> slashing damage (basic Reflex save), as long as that creature is within 10 feet of the target.",,,,,,,,"The gem has 5 additional HP, and the damage dealt by its detonation increases by 1d8.",(+1),,,,,,,,,,,,,,,,,100,,Shattering Gem,Shattering Gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,var1,1d8,var2,,,10,var1,2d8,var2,,,,,,,,,,,,,,,15,var1,3d8,var2,,,,,,,,,,,,,,,20,var1,4d8,var2,,,,,,,,,,,,,,,,,,,,,25,var1,5d8,var2,,,,,,,,,,,,,,,,,,,,,30,var1,6d8,var2,,,,,,,,,,,,,,,,,,,35,var1,7d8,var2,,,,,,,,,,,,,,,,,,,,,40,var1,8d8,var2,,,,,45,var1,9d8,var2,,,,,50,var1,10d8,var2,,,,
Shillelagh,29ed9c3e-9122-11ea-bb37-0242ac130002,"Make a club or staff temporarily magical, and deal more damage to unnatural creatures.",2A,"somatic, verbal",,,1,Primal,,,,Plant,Transmutation,,,,,,,,,,touch,,1 non-magical club or staff you hold,,TRUE,,,,,1 minute,"The target grows vines and leaves, brimming with primal energy. The target becomes a +1 striking weapon while in your hands, gaining a +1 item bonus to attack rolls and increasing the number of weapon damage dice to two. Additionally, as long as you are on your home plane, attacks you make with the target against aberrations, extraplanar creatures, and undead increase the number of weapon damage dice to three.",,,,,,,,,,,,,,,,,,,,,,,,,,100,,Shillelagh,Shillelagh,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shocking Grasp,29ed9d60-9122-11ea-bb37-0242ac130002,Zap a creature with electricity.,2A,"somatic, verbal",,,1,Arcane,Primal,,,Attack,Electricity,Evocation,,,,,,,,,touch,,1 creature,,TRUE,,,,,,"You shroud your hands in a crackling field of lightning. Make a melee spell attack roll. On a hit, the target takes <var>var1</var> electricity damage. If the target is wearing metal armor or is made of metal, you gain a +1 circumstance bonus to your attack roll with shocking grasp, and the target also takes <var>var2</var> persistent electricity damage on a hit. On a critical hit, double the initial damage, but not the persistent damage.",,,,,,,,"The damage increases by 1d12, and the persistent electricity damage increases by 1.",(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d12,var1,1d4,var2,,,3d12,var1,1d4+1,var2,,,,,,,,,,,,,,,4d12,var1,1d4+2,var2,,,,,,,,,,,,,,,5d12,var1,1d4+3,var2,,,,,,,,,,,,,,,,,,,,,6d12,var1,1d4+4,var2,,,,,,,,,,,,,,,,,,,,,7d12,var1,1d4+5,var2,,,,,,,,,,,,,,,,,,,8d12,var1,1d4+6,var2,,,,,,,,,,,,,,,,,,,,,9d12,var1,1d4+7,var2,,,,,10d12,var1,1d4+8,var2,,,,,10d12,var1,1d4+9,var2,,,,
Shockwave,29ed9eaa-9122-11ea-bb37-0242ac130002,You create a wave of energy that ripples through the earth.,2A,"somatic, verbal",Gods & Magic,,1,Arcane,Primal,,,Earth,Evocation,,,,,,,,,,,15-foot cone,,,,,,,,,<var>var1</var>You create a wave of energy that ripples through the earth. Terrestrial creatures in the affected area must attempt a Reflex save to avoid stumbling as the shockwave shakes the ground.,Reflex,The creature is unaffected.,The creature is flat-footed until the start of its next turn.,The creature falls prone.,"As failure, plus the creature takes 1d6 damage.",,,"The area increases by 5 feet (to a 20-foot cone at 2nd level, and so on).",(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var1,,,,,The area increases to 20 feet. ,var1,,,,,,,,,,,,,,,,,The area increases to 25 feet. ,var1,,,,,,,,,,,,,,,,,The area increases to 30 feet. ,var1,,,,,,,,,,,,,,,,,,,,,,,The area increases to 35 feet. ,var1,,,,,,,,,,,,,,,,,,,,,,,The area increases to 40 feet. ,var1,,,,,,,,,,,,,,,,,,,,,The area increases to 45 feet. ,var1,,,,,,,,,,,,,,,,,,,,,,,The area increases to 50 feet. ,var1,,,,,,,The area increases to 55 feet. ,var1,,,,,,,The area increases to 60 feet. ,var1,,,,,,
Sleep,29ed9fc2-9122-11ea-bb37-0242ac130002,Cause creatures in a small area to fall asleep.,2A,"somatic, verbal",,,1,Arcane,Occult,,,Enchantment,Incapacitation,Mental,Sleep,,,,,,,,30 feet,5-foot burst,,,,,,,,,"Each creature in the area becomes drowsy and might fall asleep. A creature that falls unconscious from this spell doesn't fall prone or release what it's holding. This spell doesn't prevent creatures from waking up due to a successful Perception check, limiting its utility in combat.",Will,The creature is unaffected.,The creature takes a -1 status penalty to Perception checks for 1 round.,<var>var1</var>,<var>var2</var>,,,"The creatures fall unconscious for 1 round on a failure or 1 minute on a critical failure. They fall prone and release what they're holding, and they can't attempt Perception checks to wake up. When the duration ends, the creature is sleeping normally instead of automatically waking up.",(4th),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The creature falls unconscious. If it's still unconscious after 1 minute, it wakes up automatically.",var1,"The creature falls unconscious. If it's still unconscious after 1 hour, it wakes up automatically.",var2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The creatures falls unconscious for 1 round. It falls prone and releases what it's holding, and it can't attempt Perception checks to wake up. When the duration ends, the creature is sleeping normally instead of automatically waking up.",var1,"The creatures falls unconscious for 1 minute. It falls prone and releases what it's holding, and it can't attempt Perception checks to wake up. When the duration ends, the creature is sleeping normally instead of automatically waking up.",var2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowball,29eda0da-9122-11ea-bb37-0242ac130002,You throw a magically propelled and chilled ball of dense snow.,2A,"somatic, verbal",World Guide,,1,Arcane,Primal,,,Attack,Cold,Evocation,Water,,,,,,,,30 feet,,1 creature,,TRUE,,,,,,"You throw a magically propelled and chilled ball of dense snow. The target takes <var>var1</var> cold damage and potentially other effects, depending on the result of your spell attack roll.",,The target takes double damage and a -10-foot status penalty to its Speeds for 1 round.,The target takes full damage and a -5-foot status penalty to its Speeds for 1 round.,No effect.,,,,The damage increases by 2d4.,(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d4,var1,,,,,4d4,var1,,,,,,,,,,,,,,,,,6d4,var1,,,,,,,,,,,,,,,,,8d4,var1,,,,,,,,,,,,,,,,,,,,,,,10d4,var1,,,,,,,,,,,,,,,,,,,,,,,12d4,var1,,,,,,,,,,,,,,,,,,,,,14d4,var1,,,,,,,,,,,,,,,,,,,,,,,16d4,var1,,,,,,,18d4,var1,,,,,,,20d4,var1,,,,,,
Soothe,29eda1fc-9122-11ea-bb37-0242ac130002,Heal the target and bolster them against mental attacks.,2A,"somatic, verbal",,,1,Occult,,,,Emotion,Enchantment,Healing,Mental,,,,,,,,30 feet,,1 willing living creature,ally,TRUE,,,,,1 minute,"You grace the target's mind, boosting its mental defenses and healing its wounds. The target regains <var>var1</var> Hit Points when you Cast the Spell and gains a +2 status bonus to saves against mental effects for the duration.",,,,,,,,The amount of healing increases by 1d10+4.,(+1),,,,,,,,,,,,,,,,,100,,Soothe,Soothe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d10+4,var1,,,,,2d10+8,var1,,,,,,,,,,,,,,,,,3d10+12,var1,,,,,,,,,,,,,,,,,4d10+16,var1,,,,,,,,,,,,,,,,,,,,,,,5d10+20,var1,,,,,,,,,,,,,,,,,,,,,,,6d10+24,var1,,,,,,,,,,,,,,,,,,,,,7d10+28,var1,,,,,,,,,,,,,,,,,,,,,,,8d10+32,var1,,,,,,,9d10+36,var1,,,,,,,10d10+40,var1,,,,,,
Spider Sting,29eda396-9122-11ea-bb37-0242ac130002,Damage a creature and afflict it with spider venom.,2A,"somatic, verbal",,,1,Arcane,Primal,,,Necromancy,Poison,,,,,,,,,,touch,,1 creature,,TRUE,,,,,,"You magically duplicate a spider's venomous sting. You deal 1d4 piercing damage to the touched creature and afflict it with spider venom. The target must attempt a Fortitude save.

<strong>Spider Venom</strong> (poison); <strong>Level</strong> 1; <strong>Maximum Duration</strong> 4 rounds. <strong>Stage 1</strong> 1d4 poison damage and enfeebled 1 (1 round); <strong>Stage 2</strong> 1d4 poison damage and enfeebled 2 (1 round).",Fortitude,The target is unaffected.,The target takes 1d4 poison damage.,The target is afflicted with spider venom at stage 1.,The target is afflicted with spider venom at stage 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit Link,29eda4d6-9122-11ea-bb37-0242ac130002,Continually transfer your health to someone else.,2A,"somatic, verbal",,,1,Occult,Divine,,,Healing,Necromancy,,,,,,,,,,30 feet,,1 willing creature,ally,TRUE,,,,,10 minutes,"You form a spiritual link with another creature, allowing you to take in its pain. When you Cast this Spell and at the start of each of your turns, if the target is below maximum Hit Points, it regains <var>var1</var> Hit Points (or the difference between its current and maximum Hit Points, if that's lower). You lose as many Hit Points as the target regained.

This is a spiritual transfer, so no effects apply that would increase the Hit Points the target regains or decrease the Hit Points you lose. This transfer also ignores any temporary Hit Points you or the target have. Since this effect doesn't involve positive or negative energy, spirit link works even if you or the target is undead. While the duration persists, you gain no benefit from regeneration or fast healing. You can Dismiss this spell, and if you're ever at 0 Hit Points, spirit link ends automatically.",,,,,,,,The number of Hit Points transferred each time increases by 2.,(+1),,,,,,,,,,,,,,,,,1000,,Spirit Link (Caster),Spirit Link,caster,,1000,,Spirit Link,Spirit Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,var1,,,,,4,var1,,,,,,,,,,,,,,,,,6,var1,,,,,,,,,,,,,,,,,8,var1,,,,,,,,,,,,,,,,,,,,,,,10,var1,,,,,,,,,,,,,,,,,,,,,,,12,var1,,,,,,,,,,,,,,,,,,,,,14,var1,,,,,,,,,,,,,,,,,,,,,,,16,var1,,,,,,,18,var1,,,,,,,20,var1,,,,,,
Summon Animal,29eda634-9122-11ea-bb37-0242ac130002,Conjure an animal to fight on your behalf.,3A,"material, somatic, verbal",,,1,Arcane,Primal,,,Conjuration,,,,,,,,,,,30 feet,,,self,,,,,100,sustained up to 1 minute,You conjure an animal to fight for you. You summon a common creature that has the animal trait and whose level is <var>var1</var>. Heightening the spell increases the maximum level of creature you can summon.,,,,,,,,Level 1.,(2nd),Level 2.,(3rd),Level 3.,(4th),Level 5.,(5th),Level 7.,(6th),Level 9.,(7th),Level 11.,(8th),Level 13.,(9th),Level 15.,(10th),100,,Summon Animal,Summon Animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,var1,,,,,1,var1,,,,,,,,,,,,,,,,,2,var1,,,,,,,,,,,,,,,,,3,var1,,,,,,,,,,,,,,,,,,,,,,,5,var1,,,,,,,,,,,,,,,,,,,,,,,7,var1,,,,,,,,,,,,,,,,,,,,,9,var1,,,,,,,,,,,,,,,,,,,,,,,11,var1,,,,,,,13,var1,,,,,,,15,var1,,,,,,
Summon Construct,29eda774-9122-11ea-bb37-0242ac130002,Conjure a construct to fight on your behalf.,3A,"material, somatic, verbal",,,1,Arcane,,,,Conjuration,,,,,,,,,,,30 feet,,,self,,,,,100,sustained up to 1 minute,"You conjure a construct to fight for you. This works like summon animal, except you summon a common creature that has the construct trait and whose level is <var>var1</var>.",,,,,,,Summon Animal,Level 1.,(2nd),Level 2.,(3rd),Level 3.,(4th),Level 5.,(5th),Level 7.,(6th),Level 9.,(7th),Level 11.,(8th),Level 13.,(9th),Level 15.,(10th),100,,Summon Construct,Summon Construct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,var1,,,,,1,var1,,,,,,,,,,,,,,,,,2,var1,,,,,,,,,,,,,,,,,3,var1,,,,,,,,,,,,,,,,,,,,,,,5,var1,,,,,,,,,,,,,,,,,,,,,,,7,var1,,,,,,,,,,,,,,,,,,,,,9,var1,,,,,,,,,,,,,,,,,,,,,,,11,var1,,,,,,,13,var1,,,,,,,15,var1,,,,,,
Summon Fey,29eda8be-9122-11ea-bb37-0242ac130002,Conjure a fey to fight on your behalf.,3A,"material, somatic, verbal",,,1,Occult,Primal,,,Conjuration,,,,,,,,,,,30 feet,,,self,,,,,100,sustained up to 1 minute,"You conjure a fey to fight for you. This works like summon animal, except you summon a common creature that has the construct trait and whose level is <var>var1</var>",,,,,,,Summon Animal,Level 1.,(2nd),Level 2.,(3rd),Level 3.,(4th),Level 5.,(5th),Level 7.,(6th),Level 9.,(7th),Level 11.,(8th),Level 13.,(9th),Level 15.,(10th),100,,Summon Fey,Summon Fey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,var1,,,,,1,var1,,,,,,,,,,,,,,,,,2,var1,,,,,,,,,,,,,,,,,3,var1,,,,,,,,,,,,,,,,,,,,,,,5,var1,,,,,,,,,,,,,,,,,,,,,,,7,var1,,,,,,,,,,,,,,,,,,,,,9,var1,,,,,,,,,,,,,,,,,,,,,,,11,var1,,,,,,,13,var1,,,,,,,15,var1,,,,,,
Summon Plant or Fungus,29eda9fe-9122-11ea-bb37-0242ac130002,Conjure a plant or fungus to fight on your behalf.,3A,"material, somatic, verbal",,The level 1 version of summon plant or fungus (page 376) can be used to summon a leaf leshy (Pathfinder Bestiary page 218) that has the weak adjustment (Pathfinder Bestiary page 6). This is an exception to the rule that summon spells do not normally allow you to adjust the level of the summoned monsters by applying adjustments or templates to them,1,Primal,,,,Conjuration,,,,,,,,,,,30 feet,,,self,,,,,100,sustained up to 1 minute,"You conjure a plant or fungus to fight for you. This works like summon animal, except you summon a common creature that has the plant or fungus trait and whose level is <var>var1</var>.",,,,,,,Summon Animal,Level 1.,(2nd),Level 2.,(3rd),Level 3.,(4th),Level 5.,(5th),Level 7.,(6th),Level 9.,(7th),Level 11.,(8th),Level 13.,(9th),Level 15.,(10th),100,,Summon Plant or Fungus,Summon Plant or Fungus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,var1,,,,,1,var1,,,,,,,,,,,,,,,,,2,var1,,,,,,,,,,,,,,,,,3,var1,,,,,,,,,,,,,,,,,,,,,,,5,var1,,,,,,,,,,,,,,,,,,,,,,,7,var1,,,,,,,,,,,,,,,,,,,,,9,var1,,,,,,,,,,,,,,,,,,,,,,,11,var1,,,,,,,13,var1,,,,,,,15,var1,,,,,,
Temporary Tool,29edab34-9122-11ea-bb37-0242ac130002,"You conjure a temporary simple tool, such as a shovel or rope into your hands.",1 minute,,Gods & Magic,"The temporary tool spell can be used to create only simple tools, and therefore cannot create kits, which are complex objects made of multiple pieces, or objects made of any specific precious material.",1,Arcane,,,,Conjuration,,,,,,,,,,,,,,self,,,,,,until used or 1 minute; see text,"You conjure a temporary simple tool, such as a shovel or rope into your hands. It lasts until it is used for a single activity or for 1 minute, whichever comes first, after which it disappears. The tool is obviously temporarily conjured, and thus can't be sold or passed off as a genuine item.",,,,,,,,,,,,,,,,,,,,,,,,,,100,,Temporary Tool,Temporary Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tether,29edac88-9122-11ea-bb37-0242ac130002,"You use magical chains, vines, or other tethers to bind your target to you.",1A,"somatic, verbal",Gods & Magic,,1,Arcane,Primal,,,Abjuration,,,,,,,,,,,30 feet,,1 creature,,TRUE,,,,,1 minute or until dismissed; see text,"You use magical chains, vines, or other tethers to bind your target to you. The creature can still try to Escape, and it or others can break the tethers by attacking them (the tethers have AC <var>var1</var> and <var>var2</var> Hit Points). You must stay within 30 feet of the target while it is tethered; moving more than 30 feet away from your target ends the spell. The target must attempt a Reflex save.",Reflex,The target is unaffected.,The target takes a -5-foot circumstance penalty to its Speed as long as it is within 30 feet of you.,The target takes a -10-foot circumstance penalty to its Speed and cannot move more than 30 feet away from you until it Escapes or the spell ends.,The target is immobilized until it Escapes or the spell ends.,,,The tethers' AC increases by 3 and their Hit Points increase by 10.,(+1),,,,,,,,,,,,,,,,,100,,Tether (Caster),Tether,caster,,100,,Tether,Tether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,var1,10,var2,,,18,var1,20,var2,,,,,,,,,,,,,,,21,var1,30,var2,,,,,,,,,,,,,,,24,var1,40,var2,,,,,,,,,,,,,,,,,,,,,27,var1,50,var2,,,,,,,,,,,,,,,,,,,,,30,var1,60,var2,,,,,,,,,,,,,,,,,,,33,var1,70,var2,,,,,,,,,,,,,,,,,,,,,36,var1,80,var2,,,,,39,var1,90,var2,,,,,42,var1,100,var2,,,,
