name,desc,specialdesc,gainActivities/0,hint,showon,internalNote,critSpecialization
Ranger Weapon Expertise,You've dedicated yourself to learning the intricacies of your weapons. Your proficiency ranks for simple and martial weapons and unarmed attacks increases to expert. You gain access to the critical specialization effects of all simple and martial weapons and unarmed attacks when attacking your hunted prey.,,,,,Skill increases through class features are handled in the class object. The limitation to the hunted prey is hardcoded in the weapon class.,"Simple Weapons, Martial Weapons, Unarmed Attacks"
Trackless Step,"When you move through natural terrains, you are difficult to track. You always gain the benefits of the Cover Tracks action in such terrains, without moving at half your Speed.",,,"You always gain the benefits of the Cover Tracks action in natural terrains, without moving at half your Speed.",Survival,,
Evasion,"You've learned to move quickly to avoid explosions, dragons' breath, and worse. Your proficiency rank for Reflex saves increases to master. When you roll a success on a Reflex save, you get a critical success instead.",,,"When you roll a success on a Reflex save, you get a critical success instead.",Reflex,Skill increases through class features are handled in the class object.,
Vigilant Senses,"Through your adventuring, you've developed keen awareness and attention to detail. Your proficiency rank for Perception increases to master.",,,,,Skill increases through class features are handled in the class object.,
Nature's Edge,You always find the weak points in your foes' defenses when they're on unfavorable terrain. Enemies are flat-footed to you if they're in natural difficult terrain or in difficult terrain resulting from a snare.,,,Enemies are flat-footed to you if they're in natural difficult terrain or in difficult terrain resulting from a snare.,Attacks,,
Ranger Expertise,You've practiced your techniques to make them harder to resist. Your proficiency rank for your ranger class DC increases to expert.,,,,,Skill increases through class features are handled in the class object.,
Juggernaut,"Your body is accustomed to physical hardship and resistant to ailments. Your proficiency rank for Fortitude saves increases to master. When you roll a success on a Fortitude save, you get a critical success instead.",,,"When you roll a success on a Fortitude save, you get a critical success instead.",Fortitude,Skill increases through class features are handled in the class object.,
Medium Armor Expertise,"You've learned to defend yourself better against attacks. Your proficiency ranks for light armor, medium armor, and unarmored defense increase to expert.",,,,,Skill increases through class features are handled in the class object.,
Wild Stride,"You move quickly through obstacles, whether they're tumbled stone, tangled undergrowth, or sucking mud. You can ignore the effects of non-magical difficult terrain. As normal for ignoring difficult terrain, this also lets you treat the hindrances of greater difficult terrain as those of difficult terrain.",,,"You can ignore the effects of non-magical difficult terrain. As normal for ignoring difficult terrain, this also lets you treat the hindrances of greater difficult terrain as those of difficult terrain.",Movement,,
Weapon Mastery,You fully understand the intricacies of your weapons. Your proficiency ranks for simple and martial weapons and unarmed attacks increase to master.,,,,,Skill increases through class features are handled in the class object.,
Improved Evasion,"Your ability to elude danger is matchless. Your proficiency rank for Reflex saves increases to legendary. When you roll a critical failure on a Reflex save, you get a failure instead. When you roll a failure on a Reflex save against a damaging effect, you take half damage.",,,"When you roll a critical failure on a Reflex save, you get a failure instead. When you roll a failure on a Reflex save against a damaging effect, you take half damage.",Reflex,Skill increases through class features are handled in the class object.,
Incredible Senses,You notice things almost impossible for an ordinary person to detect. Your proficiency rank for Perception increases to legendary.,,,,,Skill increases through class features are handled in the class object.,
Masterful Hunter,"You have honed your abilities as a hunter to incredible levels. Your proficiency rank for your ranger class DC increases to master. When using a ranged weapon that you have master proficiency in, you can ignore the penalty if attacking your hunted prey within the weapon's second and third range increments.

If you have master proficiency in Perception, you gain a +4 circumstance bonus to Perception checks when you Seek your prey, and if you have master proficiency in Survival, you gain a +4 circumstance bonus to Survival checks when you Track your prey. You also gain an additional benefit depending on your hunter's edge.",,,"When using a ranged weapon that you have master proficiency in, you can ignore the penalty if attacking your hunted prey within the weapon's second and third range increments.

If you have master proficiency in Perception, you gain a +4 circumstance bonus to Perception checks when you Seek your prey, and if you have master proficiency in Survival, you gain a +4 circumstance bonus to Survival checks when you Track your prey.","Attacks, Survival",Skill increases through class features are handled in the class object.,
Masterful Hunter: Flurry,"You can blend your weapon mastery with skillful targeting to make a series of precise attacks. If you have master proficiency with your weapon, your multiple attack penalty for attacks against your hunted prey is -2 (-1 with an agile weapon) on your second attack of the turn, and -4 (-2 with an agile weapon) on your third and subsequent attacks of the turn.",,,"If you have master proficiency with your weapon, your multiple attack penalty for attacks against your hunted prey is -2 (-1 with an agile weapon) on your second attack of the turn, and -4 (-2 with an agile weapon) on your third and subsequent attacks of the turn.","Hunt Prey, Attacks",,
Masterful Hunter: Outwit,"Your mastery of skills allows you to overwhelm your prey. If you have master proficiency in Deception, Intimidation, Stealth, or the skill you use to Recall Knowledge about your prey, increase the circumstance bonus against the prey with that skill from +2 to +4. If you have master proficiency with your armor, increase the circumstance bonus to AC against the prey from +1 to +2.",,,"If you have master proficiency in Deception, Intimidation, Stealth, or the skill you use to Recall Knowledge about your prey, increase the circumstance bonus against the prey with that skill from +2 to +4. If you have master proficiency with your armor, increase the circumstance bonus to AC against the prey from +1 to +2.","Hunt Prey, AC",,
Masterful Hunter: Precision,"Your weapon mastery allows you to hit your prey's vital areas multiple times. The second time in a round you hit your hunted prey, you also deal 1d8 precision damage. At 19th level, your second hit in a round against your hunted prey deals 2d8 precision damage, and your third hit in a round against your hunted prey deals 1d8 precision damage.",,,"The second time in a round you hit your hunted prey, you also deal 1d8 precision damage. At 19th level, your second hit in a round against your hunted prey deals 2d8 precision damage, and your third hit in a round against your hunted prey deals 1d8 precision damage.","Hunt Prey, Attacks",,
Second Skin,"Your armor has become akin to a second skin for you. Your proficiency ranks for light armor, medium armor, and unarmored defense increase to master. When wearing light or medium armor, you can rest normally, rather than receiving poor rest that leaves you fatigued.",,,"When wearing light or medium armor, you can rest normally, rather than receiving poor rest that leaves you fatigued.",Defense,Skill increases through class features are handled in the class object.,
Swift Prey,You size up your prey with only a glance. You can use Hunt Prey as a free action if it's your first action of your turn.,,,,Hunt Prey,,
