desc/0/value,"There’s no sight more beautiful to you than a strange brew bubbling in a beaker, and you consume your ingenious elixirs with abandon. You’re fascinated by uncovering the secrets of science and the natural world, and you’re constantly experimenting in your lab or on the go with inventive concoctions for every eventuality. You are fearless in the face of risk, hurling explosive or toxic creations at your foes. Your unique path toward greatness is lined with alchemical brews that push your mind and body to their limits.","Rage consumes you in battle. You delight in wreaking havoc and using powerful weapons to carve through your enemies, relying on astonishing durability without needing complicated techniques or rigid training. Your rages draw upon a vicious instinct, which you might associate with an animal, a spirit, or some part of yourself. To many barbarians, brute force is a hammer and every problem looks like a nail, whereas others try to hold back the storm of emotions inside them and release their rage only when it matters most.","You are a master of artistry, a scholar of hidden secrets, and a captivating persuader. Using powerful performances, you influence minds and elevate souls to new levels of heroics. You might use your powers to become a charismatic leader, or perhaps you might instead be a counselor, manipulator, scholar, scoundrel, or virtuoso. While your versatility leads some to consider you a beguiling ne’erdo- well and a jack-of-all-trades, it’s dangerous to dismiss you as a master of none.","You are an emissary of a deity, a devoted servant who has taken up a weighty mantle, and you adhere to a code that holds you apart from those around you. While champions exist for every alignment, as a champion of good, you provide certainty and hope to the innocent. You have powerful defenses that you share freely with your allies and innocent bystanders, as well as holy power you use to end the threat of evil. Your devotion even attracts the attention of holy spirits who aid you on your journey.","Deities work their will upon the world in infinite ways, and you serve as one of their most stalwart mortal servants. Blessed with divine magic, you live the ideals of your faith, adorn yourself with the symbols of your church, and train diligently to wield your deity’s favored weapon. Your spells might protect and heal your allies, or they might punish foes and enemies of your faith, as your deity wills. Yours is a life of devotion, spreading the teachings of your faith through both word and deed.","The power of nature is impossible to resist. It can bring ruin to the stoutest fortress in minutes, reducing even the mightiest works to rubble, burning them to ash, burying them beneath an avalanche of snow, or drowning them beneath the waves. It can provide endless bounty and breathtaking splendor to those who respect it— and an agonizing death to those who take it too lightly. You are one of those who hear nature’s call. You stand in awe of the majesty of its power and give yourself over to its service.","Fighting for honor, greed, loyalty, or simply the thrill of battle, you are an undisputed master of weaponry and combat techniques. You combine your actions through clever combinations of opening moves, finishing strikes, and counterattacks whenever your foes are unwise enough to drop their guard. Whether you are a knight, mercenary, sharpshooter, or blade master, you have honed your martial skills into an art form and perform devastating critical attacks on your enemies.","The strength of your fist flows from your mind and spirit. You seek perfectionâ€”honing your body into a flawless instrument and your mind into an orderly bastion of wisdom. Youâ€™re a fierce combatant renowned for martial arts skills and combat stances that grant you unique fighting moves. While the challenge of mastering many fighting styles drives you to great heights, you also enjoy meditating on philosophical questions and discovering new ways to obtain peace and enlightenment.","Some rangers believe civilization wears down the soul, but still needs to be protected from wild creatures. Others say nature needs to be protected from the greedy, who wish to tame its beauty and plunder its treasures. You could champion either goal, or both. You might be a scout, tracker, or hunter of fugitives or beasts, haunting the edge of civilization or exploring the wilds. You know how to live off the land and are skilled at spotting and taking down both opportune prey and hated enemies.","You are skilled and opportunistic . Using your sharp wits and quick reactions, you take advantage of your opponents’ missteps and strike where it hurts most. You play a dangerous game, seeking thrills and testing your skills, and likely don’t care much for any laws that happen to get in your way. While the path of every rogue is unique and riddled with danger, the one thing you all share in common is the breadth and depth of your skills.","You didn’t choose to become a spellcaster—you were born one. There’s magic in your blood, whether a divinity touched one of your ancestors, a forebear communed with a primal creature, or a powerful occult ritual influenced your line. Self-reflection and study allow you to refine your inherent magical skills and unlock new, more powerful abilities. The power in your blood carries a risk, however, and you constantly face the choice of whether you’ll rise to become a master spellcaster or fall into destruction.","You are an eternal student of the arcane secrets of the universe, using your mastery of magic to cast powerful and devastating spells. You treat magic like a science, cross-referencing the latest texts on practical spellcraft with ancient esoteric tomes to discover and understand how magic works. Yet magical theory is vast, and there’s no way you can study it all. You either specialize in one of the eight schools of magic, gaining deeper understanding of the nuances of those spells above all others, or favor a broader approach that emphasizes the way all magic comes together at the expense of depth."
desc/1/name,Key Ability,Key Ability,Key Ability,Key Ability,Key Ability,Key Ability,Key Ability,Key Ability,Key Ability,Key Ability,Key Ability,Key Ability
desc/1/value,Intelligence,Strength,Charisma,Strength or Dexterity,Wisdom,Wisdom,Strength or Dexterity,Strength or Dexterity,Strength or Dexterity,Dexterity or Other,Charisma,Intelligence
desc/2/name,Hit Points,Hit Points,Hit Points,Hit Points,Hit Points,Hit Points,Hit Points,Hit Points,Hit Points,Hit Points,Hit Points,Hit Points
desc/2/value,8 plus your Constitution modifier,12 plus your Constitution modifier,8 plus your Constitution modifier,10 plus your Constitution modifier,8 plus your Constitution modifier,8 plus your Constitution modifier,10 plus your Constitution modifier,10 plus your Constitution modifier,10 plus your Constitution modifier,8 plus your Constitution modifier,6 plus your Constitution modifier,6 plus your Constitution modifier
desc/3/name,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Perception
desc/3/value,Trained in Perception,Expert in Perception,Expert in Perception,Trained in Perception,Trained in Perception,Trained in Perception,Expert in Perception,Trained in Perception,Expert in Perception,Expert in Perception,Trained in Perception,Trained in Perception
desc/4/name,Saving Throws,Saving Throws,Saving Throws,Saving Throws,Saving Throws,Saving Throws,Saving Throws,Saving Throws,Saving Throws,Saving Throws,Saving Throws,Saving Throws
desc/4/value,"Expert in Fortitude
Expert in Reflex
Trained in Will","Expert in Fortitude
Trained in Reflex
Expert in Will","Trained in Fortitude
Trained in Reflex
Expert in Will","Expert in Fortitude
Trained in Reflex
Expert in Will","Trained in Fortitude
Trained in Reflex
Expert in Will","Trained in Fortitude
Trained in Reflex
Expert in Will","Expert in Fortitude
Expert in Reflex
Trained in Will","Expert in Fortitude
Expert in Reflex
Expert in Will","Expert in Fortitude
Expert in Reflex
Trained in Will","Trained in Fortitude
Expert in Reflex
Expert in Will","Trained in Fortitude
Trained in Reflex
Expert in Will","Trained in Fortitude
Trained in Reflex
Expert in Will"
desc/5/name,Skill,Skill,Skill,Skill,Skill,Skill,Skill,Skill,Skill,Skill,Skill,Skill
desc/5/value,"Trained in Crafting
Trained in a number of skills equal to 3 plus your Intelligence modifier","Trained in Athletics
Trained in a number of skills equal to 3 plus your Intelligence modifier","Trained in Occultism
Trained in Performance
Trained in a number of additional skills equal to 4 plus your Intelligence modifier","Trained in Religion
Trained in one skill determined by your choice of deity
Trained in a number of skills equal to 2 plus your Intelligence modifier","Trained in Religion
Trained in one skill determined by your choice of deity
Trained in a number of skills equal to 2 plus your Intelligence modifier","Trained in Nature
Trained in one skill determined by your druidic order
Trained in a number of skills equal to 2 plus your Intelligence modifier","Trained in your choice of Acrobatics or Athletics
Trained in a number of skills equal to 3 plus your Intelligence modifier",Trained in a number of skills equal to 4 plus your Intelligence modifier,"Trained in Nature
Trained in Survival
Trained in a number of additional skills equal to 4 plus your Intelligence modifier","Trained in Stealth
Trained in a number of skills equal to 7 plus your Intelligence modifier","Trained in one or more skills determined by your bloodline
Trained in a number of additional skills equal to 2 plus your Intelligence modifier","Trained in Arcana
Trained in a number of additional skills equal to 2 plus your Intelligence modifier"
desc/6/name,Attacks,Attacks,Attacks,Attacks,Attacks,Attacks,Attacks,Attacks,Attacks,Attacks,Attacks,Attacks
desc/6/value,"Trained in simple weapons
Trained in alchemical bombs
Trained in unarmed attacks","Trained in simple weapons
Trained in martial weapons
Trained in unarmed attacks","Trained in simple weapons
Trained in the longsword, rapier, sap, shortbow, shortsword, and whip
Trained in unarmed attacks","Trained in simple weapons
Trained in martial weapons
Trained in unarmed attacks","Trained in simple weapons
Trained in the favored weapon of your deity. If your deity’s favored weapon is uncommon, you also gain access to that weapon.
Trained in unarmed attacks","Trained in simple weapons
Trained in unarmed attacks","Expert in simple weapons
Expert in martial weapons
Trained in advanced weapons
Expert in unarmed attacks","Trained in simple weapons
Trained in unarmed attacks","Trained in simple weapons
Trained in martial weapons
Trained in unarmed attacks","Trained in simple weapons
Trained in the rapier, sap, shortbow, and shortsword
Trained in unarmed attacks","Trained in simple weapons
Trained in unarmed attacks","Trained in the club, crossbow, dagger, heavy crossbow, and staff
Trained in unarmed attacks"
desc/7/name,Defenses,Defenses,Defenses,Defenses,Defenses,Defenses,Defenses,Defenses,Defenses,Defenses,Defenses,Defenses
desc/7/value,"Trained in light armor
Trained in unarmored defense","Trained in light armor
Trained in medium armor
Trained in unarmored defense","Trained in light armor
Trained in unarmored defense","Trained in all armor
Trained in unarmored defense","Untrained in all armor, though your doctrine might alter this
Trained in unarmored defense","Trained in light armor
Trained in medium armor
Trained in unarmored defense","Trained in all armor
Trained in unarmored defense","Untrained in all armor
Expert in unarmored defense","Trained in light armor
Trained in medium armor
Trained in unarmored defense","Trained in light armor
Trained in unarmored defense","Untrained in all armor
Trained in unarmored defense","Untrained in all armor
Trained in unarmored defense"
desc/8/name,Class DC,Class DC,Spells,Class DC,Spells,Class DC,Class DC,Class DC,Class DC,Class DC,Spells,Spells
desc/8/value,Trained in alchemist class DC,Trained in barbarian class DC,"Trained in occult spell attacks
Trained in occult spell DCs",Trained in champion class DC,"Trained in divine spell attacks
Trained in divine spell DCs",Trained in druid class DC,Trained in fighter class DC,Trained in monk class DC,Trained in ranger class DC,Trained in rogue class DC,"Trained in spell attack rolls of your spellcasting tradition, as indicated by your bloodline
Trained in spell DCs of your spellcasting tradition, as indicated by your bloodline","Trained in arcane spell attacks
Trained in arcane spell DCs"
desc/9/name,,,,Spells,,Spells,,,,,,
desc/9/value,,,,"Trained in divine spell attacks
Trained in divine spell DCs",,"Trained in primal spell attacks
Trained in primal spell DCs",,,,,,
hitPoints,8,12,8,10,8,8,10,10,10,8,6,6
gainItems/0/name,Formula Book,,,,,,,,,,,Spellbook
gainItems/0/type,adventuringgear,,,,,,,,,,,adventuringgear
levels/0/_className,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level
levels/1/_className,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level,Level
levels/1/abilityChoices/0/_className,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice
levels/1/abilityChoices/0/available,,,,1,,,1,1,1,,,
levels/1/abilityChoices/0/boosts/0/name,Intelligence,Strength,Charisma,,Wisdom,Wisdom,,,,,Charisma,Intelligence
levels/1/abilityChoices/0/boosts/0/type,Boost,Boost,Boost,,Boost,Boost,,,,,Boost,Boost
levels/1/abilityChoices/0/boosts/0/source,Class Key Ability,Class Key Ability,Class Key Ability,,Class Key Ability,Class Key Ability,,,,,Class Key Ability,Class Key Ability
levels/1/abilityChoices/0/boosts/0/locked,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE
levels/1/abilityChoices/0/boosts/0/sourceId,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,,,,,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0
levels/1/abilityChoices/0/filter/0,,,,Strength,,,Strength,Strength,Strength,,,
levels/1/abilityChoices/0/filter/1,,,,Dexterity,,,Dexterity,Dexterity,Dexterity,,,
levels/1/abilityChoices/0/id,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0,1-Ability-Class Key Ability-0
levels/1/abilityChoices/0/source,Class Key Ability,Class Key Ability,Class Key Ability,Class Key Ability,Class Key Ability,Class Key Ability,Class Key Ability,Class Key Ability,Class Key Ability,Class Key Ability,Class Key Ability,Class Key Ability
levels/1/abilityChoices/1/_className,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice,AbilityChoice
levels/1/abilityChoices/1/available,4,4,4,4,4,4,4,4,4,4,4,4
levels/1/abilityChoices/1/baseValuesLost,4,4,4,4,4,4,4,4,4,4,4,4
levels/1/abilityChoices/1/id,1-Ability-Character Creation-1,1-Ability-Character Creation-1,1-Ability-Character Creation-1,1-Ability-Character Creation-1,1-Ability-Character Creation-1,1-Ability-Character Creation-1,1-Ability-Character Creation-1,1-Ability-Character Creation-1,1-Ability-Character Creation-1,1-Ability-Character Creation-1,1-Ability-Character Creation-1,1-Ability-Character Creation-1
levels/1/abilityChoices/1/source,Character Creation,Character Creation,Character Creation,Character Creation,Character Creation,Character Creation,Character Creation,Character Creation,Character Creation,Character Creation,Character Creation,Character Creation
levels/1/featChoices/0/_className,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice
levels/1/featChoices/0/feats/0/locked,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
levels/1/featChoices/0/feats/0/name,Infused Reagents,Rage,Composition Spells,Champion's Code,Divine Font,Anathema,Attack of Opportunity (Fighter),Powerful Fist,Hunt Prey,Sneak Attack,Bloodline,Arcane Bond
levels/1/featChoices/0/feats/0/source,Alchemist,Barbarian,Bard,Champion,Cleric,Druid,Fighter,Monk,Ranger,Rogue,Sorcerer,Wizard
levels/1/featChoices/0/feats/0/sourceId,1-Feature-Alchemist-0,1-Feature-Barbarian-0,1-Feature-Bard-0,1-Feature-Champion-0,1-Feature-Cleric-0,1-Feature-Druid-0,1-Feature-Fighter-0,1-Feature-Monk-0,1-Feature-Ranger-0,1-Feature-Rogue-0,1-Feature-Sorcerer-0,1-Feature-Wizard-0
levels/1/featChoices/0/feats/1/locked,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE
levels/1/featChoices/0/feats/1/name,Advanced Alchemy,,Muse,Champion's Reaction,Anathema,Druidic Language,Shield Block,Flurry of Blows,Hunter's Edge,Surprise Attack,,Arcane Thesis
levels/1/featChoices/0/feats/1/source,Alchemist,,Bard,Champion,Cleric,Druid,Fighter,Monk,Ranger,Rogue,,Wizard
levels/1/featChoices/0/feats/1/sourceId,1-Feature-Alchemist-0,,1-Feature-Bard-0,1-Feature-Champion-0,1-Feature-Cleric-0,1-Feature-Druid-0,1-Feature-Fighter-0,1-Feature-Monk-0,1-Feature-Ranger-0,1-Feature-Rogue-0,,1-Feature-Wizard-0
levels/1/featChoices/0/feats/2/locked,TRUE,,,TRUE,,TRUE,,,,,,
levels/1/featChoices/0/feats/2/name,Quick Alchemy,,,Deific Weapon,,Druidic Order,,,,,,
levels/1/featChoices/0/feats/2/source,Alchemist,,,Champion,,Druid,,,,,,
levels/1/featChoices/0/feats/2/sourceId,1-Feature-Alchemist-0,,,1-Feature-Champion-0,,1-Feature-Druid-0,,,,,,
levels/1/featChoices/0/feats/3/locked,TRUE,,,TRUE,,TRUE,,,,,,
levels/1/featChoices/0/feats/3/name,Alchemical Crafting,,,Deity and Cause,,Shield Block,,,,,,
levels/1/featChoices/0/feats/3/source,Alchemist,,,Champion,,Druid,,,,,,
levels/1/featChoices/0/feats/3/sourceId,1-Feature-Alchemist-0,,,1-Feature-Champion-0,,1-Feature-Druid-0,,,,,,
levels/1/featChoices/0/feats/4/locked,,,,TRUE,,TRUE,,,,,,
levels/1/featChoices/0/feats/4/name,,,,Shield Block,,Wild Empathy,,,,,,
levels/1/featChoices/0/feats/4/source,,,,Champion,,Druid,,,,,,
levels/1/featChoices/0/feats/4/sourceId,,,,1-Feature-Champion-0,,1-Feature-Druid-0,,,,,,
levels/1/featChoices/0/id,1-Feature-Alchemist-0,1-Feature-Barbarian-0,1-Feature-Bard-0,1-Feature-Champion-0,1-Feature-Cleric-0,1-Feature-Druid-0,1-Feature-Fighter-0,1-Feature-Monk-0,1-Feature-Ranger-0,1-Feature-Rogue-0,1-Feature-Sorcerer-0,1-Feature-Wizard-0
levels/1/featChoices/0/source,Alchemist,Barbarian,Bard,Champion,Cleric,Druid,Fighter,Monk,Ranger,Rogue,Sorcerer,Wizard
levels/1/featChoices/0/type,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature,Feature
levels/1/featChoices/1/_className,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice
levels/1/featChoices/1/available,1,1,1,1,1,1,,1,1,1,1,1
levels/1/featChoices/1/filter/0,Bomber,Animal Instinct,Enigma,Paladin,Cloistered Cleric,Animal,,Divine Ki Spells,Flurry,Ruffian,Aberrant Bloodline,Abjuration
levels/1/featChoices/1/filter/1,Chirurgeon,Dragon Instinct,Maestro,Redeemer,Warpriest,Leaf,,Occult Ki Spells,Outwit,Scoundrel,Angelic Bloodline,Conjuration
levels/1/featChoices/1/filter/2,Mutagenist,Fury Instinct,Polymath,Liberator,,Storm,,,Precision,Thief,Demonic Bloodline,Divination
levels/1/featChoices/1/filter/3,,Giant Instinct,,,,Wild,,,,,Diabolic Bloodline,Enchantment
levels/1/featChoices/1/filter/4,,Spirit Instinct,,,,,,,,,Draconic Bloodline,Evocation
levels/1/featChoices/1/filter/5,,,,,,,,,,,Elemental Bloodline,Illusion
levels/1/featChoices/1/filter/6,,,,,,,,,,,Fey Bloodline,Necromancy
levels/1/featChoices/1/filter/7,,,,,,,,,,,Hag Bloodline,Transmutation
levels/1/featChoices/1/filter/8,,,,,,,,,,,Imperial Bloodline,Universalist
levels/1/featChoices/1/filter/9,,,,,,,,,,,Undead Bloodline,
levels/1/featChoices/1/id,1-Research Field-Alchemist-1,1-Instinct-Barbarian-1,1-Muse-Bard-1,1-Cause-Champion-1,1-Doctrine-Cleric-1,1-Druidic Order-Druid-1,,1-Ki Spell Tradition-Monk-1,1-Hunter's Edge-Ranger-1,1-Racket-Ranger-1,1-Bloodline-Sorcerer-1,1-School-Wizard-1
levels/1/featChoices/1/source,Alchemist,Barbarian,Bard,Champion,Cleric,Druid,,Monk,Ranger,Ranger,Sorcerer,Wizard
levels/1/featChoices/1/specialChoice,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
levels/1/featChoices/1/type,Research Field,Instinct,Muse,Cause,Doctrine,Druidic Order,,Ki Spell Tradition,Hunter's Edge,Racket,Bloodline,School
levels/1/featChoices/2/_className,,,,,,,,,,,,FeatChoice
levels/1/featChoices/2/available,,,,,,,,,,,,1
levels/1/featChoices/2/filter/0,,,,,,,,,,,,Improved Familiar Attunement
levels/1/featChoices/2/filter/1,,,,,,,,,,,,Metamagical Experimentation
levels/1/featChoices/2/filter/2,,,,,,,,,,,,Spell Blending
levels/1/featChoices/2/filter/3,,,,,,,,,,,,Spell Substitution
levels/1/featChoices/2/id,,,,,,,,,,,,1-Arcane Thesis-Wizard-2
levels/1/featChoices/2/source,,,,,,,,,,,,Wizard
levels/1/featChoices/2/specialChoice,,,,,,,,,,,,TRUE
levels/1/featChoices/2/type,,,,,,,,,,,,Arcane Thesis
levels/1/featChoices/3/_className,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice,FeatChoice
levels/1/featChoices/3/available,1,1,1,1,1,1,1,,1,1,1,1
levels/1/featChoices/3/id,1-Ancestry-Class-3,1-Ancestry-Class-3,1-Ancestry-Class-3,1-Ancestry-Class-3,1-Ancestry-Class-3,1-Ancestry-Class-3,1-Ancestry-Class-3,1-Ancestry-Class-3,1-Ancestry-Class-3,1-Ancestry-Class-3,1-Ancestry-Class-3,1-Ancestry-Class-3
levels/1/featChoices/3/source,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class
levels/1/featChoices/3/type,Ancestry,Ancestry,Ancestry,Ancestry,Ancestry,Ancestry,Ancestry,Ancestry,Ancestry,Ancestry,Ancestry,Ancestry
levels/1/featChoices/4/_className,FeatChoice,FeatChoice,,FeatChoice,,,FeatChoice,FeatChoice,FeatChoice,FeatChoice,,
levels/1/featChoices/4/available,1,1,,1,,,1,1,1,1,,
levels/1/featChoices/4/id,1-Class-Class-4,1-Class-Class-4,,1-Class-Class-4,,,1-Class-Class-4,1-Class-Class-4,1-Class-Class-4,1-Class-Class-4,,
levels/1/featChoices/4/source,Class,Class,,Class,,,Class,Class,Class,Class,,
levels/1/featChoices/4/type,Class,Class,,Class,,,Class,Class,Class,Class,,
levels/1/featChoices/5/_className,,,,,,,,,,FeatChoice,,
levels/1/featChoices/5/available,,,,,,,,,,1,,
levels/1/featChoices/5/id,,,,,,,,,,1-Skill-Class-5,,
levels/1/featChoices/5/source,,,,,,,,,,Class,,
levels/1/featChoices/5/type,,,,,,,,,,Skill,,
levels/1/number,1,1,1,1,1,1,1,1,1,1,1,1
levels/1/skillChoices/0/_className,SkillChoice,SkillChoice,SkillChoice,SkillChoice,SkillChoice,SkillChoice,SkillChoice,SkillChoice,SkillChoice,SkillChoice,SkillChoice,SkillChoice
levels/1/skillChoices/0/id,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0
levels/1/skillChoices/0/increases/0/locked,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
levels/1/skillChoices/0/increases/0/maxRank,2,2,2,2,2,2,2,2,2,2,2,2
levels/1/skillChoices/0/increases/0/name,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Perception,Perception
levels/1/skillChoices/0/increases/0/source,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class
levels/1/skillChoices/0/increases/0/sourceId,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0
levels/1/skillChoices/0/increases/1/locked,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
levels/1/skillChoices/0/increases/1/maxRank,2,4,2,2,2,2,4,2,4,4,2,2
levels/1/skillChoices/0/increases/1/name,Fortitude,Perception,Fortitude,Fortitude,Fortitude,Fortitude,Perception,Fortitude,Perception,Perception,Fortitude,Fortitude
levels/1/skillChoices/0/increases/1/source,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class
levels/1/skillChoices/0/increases/1/sourceId,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0
levels/1/skillChoices/0/increases/2/locked,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
levels/1/skillChoices/0/increases/2/maxRank,4,2,2,4,2,2,2,4,2,2,2,2
levels/1/skillChoices/0/increases/2/name,Fortitude,Fortitude,Reflex,Fortitude,Reflex,Reflex,Fortitude,Fortitude,Fortitude,Fortitude,Reflex,Reflex
levels/1/skillChoices/0/increases/2/source,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class
levels/1/skillChoices/0/increases/2/sourceId,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0
levels/1/skillChoices/0/increases/3/locked,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
levels/1/skillChoices/0/increases/3/maxRank,2,4,2,2,2,2,4,2,4,2,2,2
levels/1/skillChoices/0/increases/3/name,Reflex,Fortitude,Will,Reflex,Will,Will,Fortitude,Reflex,Fortitude,Reflex,Will,Will
levels/1/skillChoices/0/increases/3/source,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class
levels/1/skillChoices/0/increases/3/sourceId,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0
levels/1/skillChoices/0/increases/4/locked,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
levels/1/skillChoices/0/increases/4/maxRank,4,2,4,2,4,4,2,4,2,4,4,4
levels/1/skillChoices/0/increases/4/name,Reflex,Reflex,Will,Will,Will,Will,Reflex,Reflex,Reflex,Reflex,Will,Will
levels/1/skillChoices/0/increases/4/source,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class,Class
levels/1/skillChoices/0/increases/4/sourceId,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0,1-Any-Class-0
levels/1/skillChoices/0/increases/5/locked,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
levels/1/skillChoices/0/increases/5/maxRank,2,2,2,4,2,2,4,2,4,2,2,4
levels/1/skillChoices/0/increases/5/name,Will,Will,Occultism,Will,Religion,Nature,Reflex,Will,Reflex,Will,Simple Weapons,Arcana
