_className,name,sourceBook,ancestries/0,ancestries/1,desc,featChoices/0/_className,featChoices/0/available,featChoices/0/feats/0/locked,featChoices/0/feats/0/name,featChoices/0/feats/0/source,featChoices/0/feats/0/sourceId,featChoices/0/feats/1/locked,featChoices/0/feats/1/name,featChoices/0/feats/1/source,featChoices/0/feats/1/sourceId,featChoices/0/feats/2/locked,featChoices/0/feats/2/name,featChoices/0/feats/2/source,featChoices/0/feats/2/sourceId,featChoices/0/filter/0,featChoices/0/filter/1,featChoices/0/filter/2,featChoices/0/filter/3,featChoices/0/filter/4,featChoices/0/filter/5,featChoices/0/filter/6,featChoices/0/filter/7,featChoices/0/filter/8,featChoices/0/filter/9,featChoices/0/filter/10,featChoices/0/filter/11,featChoices/0/id,featChoices/0/level,featChoices/0/source,featChoices/0/type,gainActivities/0,gainActivities/1,gainActivities/2,gainItems/0/name,gainItems/0/type,spellChoices/0/className,spellChoices/0/available,spellChoices/0/frequency,spellChoices/0/charLevelAvailable,spellChoices/0/id,spellChoices/0/spells/0/frequency,spellChoices/0/spells/0/locked,spellChoices/0/spells/0/name,spellChoices/0/source,spellChoices/0/tradition,spellChoices/0/castingType,senses/0,skillChoices/0/_className,skillChoices/0/available,skillChoices/0/id,skillChoices/0/increases/0/locked,skillChoices/0/increases/0/name,skillChoices/0/increases/0/source,skillChoices/0/increases/0/sourceId,skillChoices/0/maxRank,skillChoices/0/source,skillChoices/0/type,subTypes/0/gainActivities/0,subTypes/0/name,subTypes/0/subType,subTypes/0/spellChoices/0/className,subTypes/0/spellChoices/0/available,subTypes/0/spellChoices/0/frequency,subTypes/0/spellChoices/0/charLevelAvailable,subTypes/0/spellChoices/0/id,subTypes/0/spellChoices/0/spells/0/frequency,subTypes/0/spellChoices/0/spells/0/locked,subTypes/0/spellChoices/0/spells/0/name,subTypes/0/spellChoices/0/source,subTypes/0/spellChoices/0/tradition,subTypes/0/spellChoices/0/castingType,subTypes/1/gainActivities/0,subTypes/1/name,subTypes/1/subType,subTypes/1/spellChoices/0/className,subTypes/1/spellChoices/0/available,subTypes/1/spellChoices/0/frequency,subTypes/1/spellChoices/0/charLevelAvailable,subTypes/1/spellChoices/0/id,subTypes/1/spellChoices/0/spells/0/frequency,subTypes/1/spellChoices/0/spells/0/locked,subTypes/1/spellChoices/0/spells/0/name,subTypes/1/spellChoices/0/source,subTypes/1/spellChoices/0/tradition,subTypes/1/spellChoices/0/castingType,subTypes/2/gainActivities/0,subTypes/2/name,subTypes/2/subType,subTypes/2/spellChoices/0/className,subTypes/2/spellChoices/0/available,subTypes/2/spellChoices/0/frequency,subTypes/2/spellChoices/0/charLevelAvailable,subTypes/2/spellChoices/0/id,subTypes/2/spellChoices/0/spells/0/frequency,subTypes/2/spellChoices/0/spells/0/locked,subTypes/2/spellChoices/0/spells/0/name,subTypes/2/spellChoices/0/source,subTypes/2/spellChoices/0/tradition,subTypes/2/spellChoices/0/castingType,subTypes/3/gainActivities/0,subTypes/3/name,subTypes/3/subType,traits/0
Heritage,Cavern Elf,,,,You were born or spent many years in underground tunnels or caverns where light is scarce. You gain darkvision.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Desert Elf,Character Guide,,,"You live under the desert's blazing heat, gaining incredible resilience to warm environments. You gain fire resistance equal to half your level (minimum 1), and environmental heat effects are one step less extreme for you (incredible heat becomes extreme, extreme heat becomes severe, and so on).",FeatChoice,,TRUE,Desert Elf,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Seer Elf,,,,"You have an inborn ability to detect and understand magical phenomena. You can cast the detect magic cantrip as an arcane innate spell at will. A cantrip is heightened to a spell level equal to half your level rounded up.

In addition, you gain a +1 circumstance bonus to checks to Identify Magic and to Decipher Writing of a magical nature. These skill actions typically use the Arcana, Nature, Occultism, or Religion skill.",FeatChoice,,TRUE,Seer Elf,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,Innate,,at will,1,869a7934-9be8-4264-b08a-6540581fdaa8,at will,TRUE,Detect Magic,Seer Elf,,Innate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Whisper Elf,,,,"Your ears are finely tuned, able to detect even the slightest whispers of sound. As long as you can hear normally, you can use the Seek action to sense undetected creatures in a 60-foot cone instead of a 30-foot cone. You also gain a +2 circumstance bonus to locate undetected creatures that you could hear within 30 feet with a Seek action.",FeatChoice,,TRUE,Whisper Elf,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Woodland Elf,,,,"You're adapted to life in the forest or the deep jungle, and you know how to climb trees and use foliage to your advantage. When Climbing trees, vines, and other foliage, you move at half your Speed on a success and at full Speed on a critical success (and you move at full Speed on a success if you have Quick Climb). This doesn't affect you if you're using a climb Speed.

You can always use the Take Cover action when you are within forest terrain to gain cover, even if you're not next to an obstacle you can Take Cover behind.",FeatChoice,,TRUE,Woodland Elf Climbing,Heritage,1-Feat-Heritage-0,TRUE,Woodland Elf Cover,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Chameleon Gnome,,,,"The color of your hair and skin is mutable, possibly due to latent magic. You can slowly change the vibrancy and the exact color, and the coloration can be different across your body, allowing you to create patterns or other colorful designs. It takes a single action for minor localized shifts and up to an hour for dramatic shifts throughout your body. While you’re asleep, the colors shift on their own in tune with your dreams, giving you an unusual coloration each morning. When you’re in an area where your coloration is roughly similar to the environment (for instance, forest green in a forest), you can use the single action to make minor localized shifts designed to help you blend into your surroundings. This grants you a +2 circumstance bonus to Stealth checks until your surroundings shift in coloration or pattern.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chameleon Gnome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Fey-Touched Gnome,,,,"The blood of the fey is so strong within you that you’re truly one of them. You gain the fey trait, in addition to the gnome and humanoid traits. Choose one cantrip from the primal spell list. You can cast this spell as a primal innate spell at will. A cantrip is heightened to a spell level equal to half your level rounded up. You can change this cantrip to a different one from the same list once per day by meditating to realign yourself with the First World; this is a 10-minute activity that has the concentrate trait.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fey-Touched Gnome,,,,,Innate,1,at will,1,7b1056c0-028f-421a-88d5-d8dd61a8084c,,,,Fey-Touched Gnome,Primal,Innate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fey
Heritage,Sensate Gnome,,,,"You see all colors as brighter, hear all sounds as richer, and especially smell all scents with incredible detail. You gain a special sense: imprecise scent with a range of 30 feet. This means you can use your sense of smell to determine the exact location of a creature. The GM will usually double the range if you’re downwind from the creature or halve the range if you’re upwind.

In addition, you gain a +2 circumstance bonus to Perception checks whenever you’re trying to locate an undetected creature that is within the range of your scent.",FeatChoice,,TRUE,Sensate Gnome,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,Scent 30 feet (imprecise),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Umbral Gnome,,,,"Whether from a connection to dark or shadowy fey, from the underground deep gnomes also known as svirfneblin, or another source, you can see in complete darkness. You gain darkvision.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Vivacious Gnome,Character Guide,,,"You have an incredibly strong connection to the positive energy that flows through the First World, making it harder to attack your life force with negative energy. You gain negative resistance equal to half your level (minimum 1). When you have the doomed condition, the condition affects you as if its value was 1 lower than it actually is (doomed 1 has no effect, doomed 2 causes you to die at dying 3, and so on).",FeatChoice,,TRUE,Vivacious Gnome,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Wellspring Gnome,,,,"Some other source of magic has a greater hold on you than the primal magic of your fey lineage does. This connection might come from an occult plane or an ancient occult song; a deity, celestial, or fiend; magical effluent left behind by a mage war; or ancient rune magic.

Choose arcane, divine, or occult. You gain one cantrip from that magical tradition’s spell list. You can cast this spell as an innate spell at will, as a spell of your chosen tradition. A cantrip is heightened to a spell level equal to half your level rounded up. Whenever you gain a primal innate spell from a gnome ancestry feat, change its tradition from primal to your chosen tradition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wellspring Gnome (Arcane),Arcane,Innate,1,at will,1,a9fa972e-9c44-11ea-bb37-0242ac130002,,,,Wellspring Gnome,Arcane,Innate,,Wellspring Gnome (Divine),Divine,Innate,1,at will,1,a9fa992c-9c44-11ea-bb37-0242ac130002,,,,Wellspring Gnome,Divine,Innate,,Wellspring Gnome (Occult),Occult,Innate,1,at will,1,a9fa9b98-9c44-11ea-bb37-0242ac130002,,,,Wellspring Gnome,Occult,Innate,,,,
Heritage,Charhide Goblin,,,,"Your ancestors have always had a connection to fire and a thicker skin, which allows you to resist burning. You gain fire resistance equal to half your level (minimum 1). You can also recover from being on fire more easily. Your flat check to remove persistent fire damage is DC 10 instead of DC 15, which is reduced to DC 5 if another creature uses a particularly appropriate action to help.",FeatChoice,,TRUE,Charhide Goblin,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Irongut Goblin,,,,"You can subsist on food that most folks would consider spoiled. You can keep yourself fed with poor meals in a settlement as long as garbage is readily available, without using the Subsist downtime activity. You can eat and drink things when you are sickened.

You gain a +2 circumstance bonus to saving throws against afflictions, against gaining the sickened condition, and to remove the sickened condition. When you roll a success on a Fortitude save affected by this bonus, you get a critical success instead. All these benefits apply only when the affliction or condition resulted from something you ingested.",FeatChoice,,TRUE,Irongut Goblin,Heritage,1-Feat-Heritage-0,TRUE,Irongut Goblin Fortitude,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Razortooth Goblin,,,,Your family’s teeth are formidable weapons. You gain a jaws unarmed attack that deals 1d6 piercing damage. Your jaws are in the brawling group and have the finesse and unarmed traits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goblin Jaws,weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Snow Goblin,,,,"You are acclimated to living in frigid lands and have skin ranging from sky blue to navy in color, as well as blue fur. You gain cold resistance equal to half your level (minimum 1). You treat environmental cold effects as if they were one step less extreme (incredible cold becomes extreme, extreme cold becomes severe, and so on).",FeatChoice,,TRUE,Snow Goblin,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Tailed Goblin,Character Guide,,,"You have a powerful tail, likely because you descend from a community of monkey goblins. You gain a +2 circumstance bonus to Athletics checks to Climb, you gain Combat Climber as a bonus feat, and you reduce the number of free hands required to Climb or Trip by one.",FeatChoice,,TRUE,Combat Climber,Heritage,1-Feat-Heritage-0,TRUE,Tailed Goblin,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Treedweller Goblin,Character Guide,,,"You have adapted particularly well to living in forested environments. As long as you are in a forest or jungle, you gain a +2 circumstance bonus to Stealth checks to Hide and Sneak, Survival checks to Subsist, and your Survival DC to Cover Tracks.",FeatChoice,,TRUE,Treedweller Goblin,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Unbreakable Goblin,,,,"You’re able to bounce back from injuries easily due to an exceptionally thick skull, cartilaginous bones, or some other mixed blessing. You gain 10 Hit Points from your ancestry instead of 6. When you fall, reduce the falling damage you take as though you had fallen half the distance.",FeatChoice,,TRUE,Unbreakable Goblin,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Gutsy Halfling,,,,"Your family line is known for keeping a level head and staving off fear when the chips were down, making them wise leaders and sometimes even heroes. When you roll a success on a saving throw against an emotion effect, you get a critical success instead.",FeatChoice,,TRUE,Gutsy Halfling,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Hillock Halfling,,,,"Accustomed to a calm life in the hills, your people find rest and relaxation especially replenishing, particularly when indulging in creature comforts. When you regain Hit Points overnight, add your level to the Hit Points regained. When anyone uses the Medicine skill to Treat your Wounds, you can eat a snack to add your level to the Hit Points you regain from their treatment.",FeatChoice,,TRUE,Hillock Halfling,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Nomadic Halfling,,,,"Your ancestors have traveled from place to place for generations, never content to settle down. You gain two additional languages of your choice, chosen from among the common and uncommon languages available to you, and every time you take the Multilingual feat, you gain another new language.",FeatChoice,,TRUE,Nomadic Halfling,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Observant Halfling,Character Guide,,,"Your finely honed senses quickly clue you in to danger or trickery. You gain a +1 circumstance bonus to your Perception DC, though not to your Perception checks.",FeatChoice,,TRUE,Observant Halfling,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Twilight Halfling,,,,"Your ancestors performed many secret acts under the concealing cover of dusk, whether for good or ill, and over time they developed the ability to see in twilight beyond even the usual keen sight of halflings. You gain low-light vision.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low-Light Vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Wildwood Halfling,,,,"You hail from deep in a jungle or forest, and you’ve learned how to use your small size to wriggle through undergrowth, vines, and other obstacles. You ignore difficult terrain from trees, foliage, and undergrowth.",FeatChoice,,TRUE,Wildwood Halfling,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Elfbane Hobgoblin,Character Guide,,,"Hobgoblins were engineered long ago from the unreliable and fecund goblins, to be used as an army against the elves. Although the elves ultimately freed the hobgoblins from their bondage, some hobgoblins retain ancestral resistance to magic, which they refer to as “elf magic.” You gain the Resist Elf Magic reaction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resist Elf Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage,Runtboss Hobgoblin,Character Guide,,,"You come from a long line of hobgoblins who commanded goblins. You are smaller than other hobgoblins, but goblins still listen to any commands you bellow. You gain the Group Coercion skill feat. If you roll a success on an Intimidation check to Coerce a goblin (but not other creatures with the goblin trait), you get a critical success instead; if you roll a critical failure, you get a failure instead.",FeatChoice,,TRUE,Group Coercion,Heritage,1-Feat-Heritage-0,TRUE,Runtboss Hobgoblin,Heritage,1-Feat-Heritage-0,,,,,,,,,,,,,,,,,1-Feat-Heritage-0,0,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
