name,shortdesc,desc,hint,showon,abilityreq/0/ability,abilityreq/0/value,access,advancedweaponbase,data/background,data/name,effects/0/affected,effects/0/value,featreq,gainActivities/0,gainFeatChoice/0/available,gainFeatChoice/0/id,gainFeatChoice/0/level,gainFeatChoice/0/source,gainFeatChoice/0/type,gainFormulaChoice,gainLore,gainSkillChoice/0/available,gainSkillChoice/0/increases/0/locked,gainSkillChoice/0/increases/0/maxRank,gainSkillChoice/0/increases/0/name,gainSkillChoice/0/increases/0/source,gainSkillChoice/0/increases/0/sourceId,gainSkillChoice/0/maxRank,gainSkillChoice/0/source,gainSkillChoice/0/type,gainSpellChoice/0/className,gainSpellChoice/0/id,gainSpellChoice/0/source,gainSpellChoice/0/spells/0/className,gainSpellChoice/0/spells/0/locked,gainSpellChoice/0/spells/0/name,gainSpellChoice/0/spells/0/source,gainSpellChoice/0/spells/0/sourceId,gainSpellChoice/0/spells/0/tradition,gainSpellChoice/0/tradition,gainTraditionChoice/0/ability,gainTraditionChoice/0/id,gainTraditionChoice/0/maxRank,gainTraditionChoice/0/source,gainTraditionChoice/0/traditionAvailable,gainTraditionChoice/0/traditionFilter/0,gainTraditionChoice/0/traditionFilter/1,hide,internalNote,levelreq,lorebase,onceEffects/0/affected,onceEffects/0/value,skillreq/0/skill,skillreq/0/value,skillreq/1/skill,skillreq/1/value,skillreq/2/skill,skillreq/2/value,skillreq/3/skill,skillreq/3/value,skillreq/4/skill,skillreq/4/value,skillreq/5/skill,skillreq/5/value,skillreq/6/skill,skillreq/6/value,skillreq/7/skill,skillreq/7/value,specialdesc,specialreq,specialreqdesc,subType,subTypes,superType,traits/0,traits/1,traits/2,traits/3,traits/4,traits/5,unlimited
Alchemical Crafting,Craft alchemical items.,"You can use the Craft activity to create alchemical items. When you select this feat, you immediately add the formulas for four common 1st-level alchemical items to your formula book.",You can use the Craft activity to create alchemical items.,Crafting,,,,,,,,,,,,,,,,##########Formulas are not yet implemented.##########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Crafting,2,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Ancestral Paragon,Gain a 1st-level ancestry feat.,"Whether through instinct, study, or magic, you feel a deeper connection to your ancestry. You gain a 1st-level ancestry feat.",,,,,,,,,,,,,1,,1,Feat: Ancestral Paragon,Ancestry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,General,,,,,,
Arcane Sense,Cast detect magic at will as an arcane innate spell.,"Your study of magic allows you to instinctively sense its presence. You can cast 1st-level detect magic at will as an arcane innate spell. If you’re a master in Arcana, the spell is heightened to 3rd level; if you’re legendary, it is heightened to 4th level.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,##########Spells are not yet implemented.##########,1,,,,Arcana,2,,,,,,,,,,,,,,,,,,,,,General,Skill,,,,,
Arctic Elf Cold Resistance,,You gain cold resistance equal to half your level (minimum 1).,,,,,,,,,Cold Resistance,"'+'+Math.max(Math.floor(characterService.get_Character().level / 2), 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Elf Lessened Cold,,"You treat environmental cold effects as if they were one step less extreme (incredible cold becomes extreme, extreme cold becomes severe, and so on).",,Resistances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Proficiency,Become trained in a type of armor.,"You become trained in light armor. If you already were trained in light armor, you gain training in medium armor. If you were trained in both, you become trained in heavy armor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"You can select this feat more than once. Each time, you become trained in the next type of armor above.",,,,TRUE,,General,,,,,,
Armor Proficiency: Heavy armor,Become trained in a type of armor.,"You become trained in light armor. If you already were trained in light armor, you gain training in medium armor. If you were trained in both, you become trained in heavy armor.",You become trained in heavy armor.,,,,,,,,,,,,,,,,,,,,TRUE,2,Heavy Armor,Feat: Armor Proficiency: Heavy armor,,2,Feat: Armor Proficiency: Heavy armor,Armor Proficiency,,,,,,,,,,,,,,,,,,,,1,,,,Medium Armor,2,,,,,,,,,,,,,,,,"characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 2 || (this.have(characterService, charLevel) && characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 4)",Heavy Armor < T,Heavy Armor,,Armor Proficiency,General,,,,,,
Armor Proficiency: Light armor,Become trained in a type of armor.,"You become trained in light armor. If you already were trained in light armor, you gain training in medium armor. If you were trained in both, you become trained in heavy armor.",You become trained in light armor.,,,,,,,,,,,,,,,,,,,,TRUE,2,Light Armor,Feat: Armor Proficiency: Light armor,,2,Feat: Armor Proficiency: Light armor,Armor Proficiency,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 2 || (this.have(characterService, charLevel) && characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 4)",Light Armor < T,Light Armor,,Armor Proficiency,General,,,,,,
Armor Proficiency: Medium armor,Become trained in a type of armor.,"You become trained in light armor. If you already were trained in light armor, you gain training in medium armor. If you were trained in both, you become trained in heavy armor.",You become trained in medium armor.,,,,,,,,,,,,,,,,,,,,TRUE,2,Medium Armor,Feat: Armor Proficiency: Medium armor,,2,Feat: Armor Proficiency: Medium armor,Armor Proficiency,,,,,,,,,,,,,,,,,,,,1,,,,Light Armor,2,,,,,,,,,,,,,,,,"characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 2 || (this.have(characterService, charLevel) && characterService.get_Skills(this.subType)[0].level(characterService, charLevel) < 4)",Medium Armor < T,Medium Armor,,Armor Proficiency,General,,,,,,
Assurance,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"You can select this feat multiple times. Each time, choose a different skill and gain the benefits for that skill.",,Any skill T,,TRUE,,General,Fortune,Skill,,,,
Assurance: Acrobatics,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Acrobatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Acrobatics,2,,,,,,,,,,,,,,,,,,Acrobatics,,Assurance,General,Fortune,Skill,,,,
Assurance: Arcana,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Arcana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Arcana,2,,,,,,,,,,,,,,,,,,Arcana,,Assurance,General,Fortune,Skill,,,,
Assurance: Athletics,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Athletics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Athletics,2,,,,,,,,,,,,,,,,,,Athletics,,Assurance,General,Fortune,Skill,,,,
Assurance: Crafting,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Crafting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Crafting,2,,,,,,,,,,,,,,,,,,Crafting,,Assurance,General,Fortune,Skill,,,,
Assurance: Deception,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Deception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Deception,2,,,,,,,,,,,,,,,,,,Deception,,Assurance,General,Fortune,Skill,,,,
Assurance: Diplomacy,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Diplomacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Diplomacy,2,,,,,,,,,,,,,,,,,,Diplomacy,,Assurance,General,Fortune,Skill,,,,
Assurance: Intimidation,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Intimidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Intimidation,2,,,,,,,,,,,,,,,,,,Intimidation,,Assurance,General,Fortune,Skill,,,,
Assurance: Lore,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Lore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,1,TRUE,,,Lore,2,,,,,,,,,,,,,,,,,,Lore,,Assurance,General,Fortune,Skill,,,,
Assurance: Medicine,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Medicine,2,,,,,,,,,,,,,,,,,,Medicine,,Assurance,General,Fortune,Skill,,,,
Assurance: Nature,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Nature,2,,,,,,,,,,,,,,,,,,Nature,,Assurance,General,Fortune,Skill,,,,
Assurance: Occultism,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Occultism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Occultism,2,,,,,,,,,,,,,,,,,,Occultism,,Assurance,General,Fortune,Skill,,,,
Assurance: Performance,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Performance,2,,,,,,,,,,,,,,,,,,Performance,,Assurance,General,Fortune,Skill,,,,
Assurance: Religion,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Religion,2,,,,,,,,,,,,,,,,,,Religion,,Assurance,General,Fortune,Skill,,,,
Assurance: Society,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Society,2,,,,,,,,,,,,,,,,,,Society,,Assurance,General,Fortune,Skill,,,,
Assurance: Stealth,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Stealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Stealth,2,,,,,,,,,,,,,,,,,,Stealth,,Assurance,General,Fortune,Skill,,,,
Assurance: Survival,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Survival,2,,,,,,,,,,,,,,,,,,Survival,,Assurance,General,Fortune,Skill,,,,
Assurance: Thievery,Receive a fixed result on a skill check.,"Even in the worst circumstances, you can perform basic tasks. Choose a skill you’re trained in. You can forgo rolling a skill check for that skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).","You can forgo rolling a skill check for this skill to instead receive a result of 10 + your proficiency bonus (do not apply any other bonuses, penalties, or modifiers).",Thievery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Thievery,2,,,,,,,,,,,,,,,,,,Thievery,,Assurance,General,Fortune,Skill,,,,
Automatic Knowledge,Recall Knowledge as a free action once per round.,"You know basic facts off the top of your head. Choose a skill you’re an expert in that has the Recall Knowledge action and for which you have the Assurance feat. You can use the Recall Knowledge action with that skill as a free action once per round. If you do, you must use Assurance on the skill check.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,"You can select this feat multiple times, choosing a different skill each time. You can use Automatic Knowledge with any skills you have chosen, but you can still use Automatic Knowledge only once per round.",,"Any skill with Recall Knowledge E, Assurance in that skill",,TRUE,,General,Skill,,,,,
Automatic Knowledge: Arcana,Recall Knowledge as a free action once per round.,"You know basic facts off the top of your head. Choose a skill you’re an expert in that has the Recall Knowledge action and for which you have the Assurance feat. You can use the Recall Knowledge action with that skill as a free action once per round. If you do, you must use Assurance on the skill check.","You can use the Recall Knowledge action with this skill as a free action once per round. If you do, you must use Assurance on the skill check.

You can use Automatic Knowledge with any skills you have chosen, but you can still use Automatic Knowledge only once per round.",Arcana,,,,,,,,,Assurance: Arcana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Arcana,4,,,,,,,,,,,,,,,,,,Arcana,,Automatic Knowledge,General,Skill,,,,,
Automatic Knowledge: Crafting,Recall Knowledge as a free action once per round.,"You know basic facts off the top of your head. Choose a skill you’re an expert in that has the Recall Knowledge action and for which you have the Assurance feat. You can use the Recall Knowledge action with that skill as a free action once per round. If you do, you must use Assurance on the skill check.","You can use the Recall Knowledge action with this skill as a free action once per round. If you do, you must use Assurance on the skill check.

You can use Automatic Knowledge with any skills you have chosen, but you can still use Automatic Knowledge only once per round.",Crafting,,,,,,,,,Assurance: Crafting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Crafting,4,,,,,,,,,,,,,,,,,,Crafting,,Automatic Knowledge,General,Skill,,,,,
Automatic Knowledge: Lore,Recall Knowledge as a free action once per round.,"You know basic facts off the top of your head. Choose a skill you’re an expert in that has the Recall Knowledge action and for which you have the Assurance feat. You can use the Recall Knowledge action with that skill as a free action once per round. If you do, you must use Assurance on the skill check.","You can use the Recall Knowledge action with this skill as a free action once per round. If you do, you must use Assurance on the skill check.

You can use Automatic Knowledge with any skills you have chosen, but you can still use Automatic Knowledge only once per round.",Lore,,,,,,,,,Assurance: Lore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,2,TRUE,,,Lore,4,,,,,,,,,,,,,,,,,,Lore,,Automatic Knowledge,General,Skill,,,,,
